"workerid","proliferate.condition.x","CC","list","list_firstSocCond","orientation","response","rt","slide_number_in_experiment","socialCondition","topic","trigger_class","whichSocConditionFirst","error.x","proliferate.condition.y","about","accent","age","american","comments","education","gender","income","language","otherParty","party","politics","race_otherRaceText","race_white","state","whichAccent","error.y","trial"
3693,"default","the uprising at the Capitol was domestic terrorism","list1","list1-D","liberal",0.36,8669,19,"R","capitol_uprising","C","D",NA,"default","Comparing individual beliefs with perceptions about others","No",23,"Yes","Best of luck with your research!",3,"Male",2,"English",NA,"Dem",0.13,NA,"white","VA",NA,NA,16
3694,"default","the uprising at the Capitol was domestic terrorism","list1","list1-D","liberal",0.36,17637,12,"R","capitol_uprising","C","D",NA,"default","Do people think political views are more polarized or extreme depending on their own political leanings?","No",27,"Yes",NA,3,"Female",2,"English",NA,"Dem",0.13,NA,"white","MO",NA,NA,9
3592,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.09,16464,21,"D","COVID","C","D",NA,"default","Not sure","Yes",32,"Yes",NA,3,"Male",4,"English","Independent",NA,0.69,NA,"white","AR","Midwest",NA,18
3598,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.07,4111,17,"D","COVID","C","D",NA,"default","Political views","No",24,"Yes",NA,2,"Female",0,"English",NA,"Lib",0.31,NA,"white","CO",NA,NA,14
3614,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.81,7752,10,"R","COVID","C","R",NA,"default","Political views","No",30,"Yes","None",4,"Male",3,"English",NA,"Dem",0.3,NA,NA,"CA","N/a",NA,7
3586,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.16,5421,25,"D","COVID","C","D",NA,"default","To gauge people's opinion of how strongly Republicans and Democrats feel about certain issues.","No",44,"Yes","Thank you for an enjoyable survey.",2,"Male",3,"English",NA,"Lib",0.53,NA,"white","IN",NA,NA,22
3587,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.19,4395,5,"D","COVID","C","D",NA,"default","Don't know","Yes",32,"Yes","No comment",3,"Female",4,"English",NA,"Dem",0.1,NA,"white","WI","Minnesotan",NA,2
3589,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.71,9968,16,"R","COVID","C","R",NA,"default","How others perceive the believes of political parties","No",35,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.37,NA,"white","PA",NA,NA,13
3590,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.1,7037,13,"D","COVID","C","D",NA,"default","Not sure. Maybe assessing accuracy of perceptions of political party's beliefs (e.g., are we accurately able to guess what Republicans on average believe, or do we under/over estimate certain beliefs)","No",26,"Yes","N/A",3,"Female",3,"English",NA,"Dem",0,NA,"white","IN",NA,NA,10
3593,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.65,7487,12,"R","COVID","C","R",NA,"default","The differences between Democrats and Republicans way of thinking.","No",50,"Yes","It was interesting.",2,"Female",3,"English",NA,"Rep",0.61,NA,"white","NJ",NA,NA,9
3594,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.32,3972,22,"D","COVID","C","D",NA,"default",NA,"Yes",22,"Yes",NA,3,"Other",5,"English","Independent","Other",0,NA,"white","CO","Mild Southern Drawl",NA,19
3597,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.75,4516,9,"R","COVID","C","R",NA,"default","Determining how native vs. non-native language speakers view U.S. political parties.","Yes",57,"Yes","Thank your for the sliding scale rating option.  Sometimes answers that are forced into only a few options don't feel accurate.",3,"Female",5,"English",NA,"Dem",0.33,NA,"white","GA","Southern American",NA,6
3599,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.1,3883,25,"R","COVID","C","R",NA,"default","How people believe other political parties view certain topics.","No",21,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","NJ",NA,NA,22
3600,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.12,4556,21,"D","COVID","C","D",NA,"default","Political leanings and stereotypes","Yes",52,"Yes",NA,3,"Male",5,"English",NA,"Dem",0.09,NA,"white","NC","Southern",NA,18
3601,"default","COVID is an overhyped virus","list2","list2-D","conservative",0,6546,9,"D","COVID","C","D",NA,"default","The general public's perceptions about the views of Democrats and Republicans","No",20,"Yes",NA,2,"Female",5,"English",NA,"Dem",0,NA,"white","PA",NA,NA,6
3602,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.72,5520,19,"R","COVID","C","R",NA,"default","How we view the political beliefs of Republicans and Democrats.","Yes",41,"Yes","None",3,"Male",5,"English",NA,"Dem",0.13,NA,"white","GA","Northeastern U.S.",NA,16
3603,"default","COVID is an overhyped virus","list2","list2-D","conservative",0,14060,14,"D","COVID","C","D",NA,"default","IDK, perhaps if the stereotypes are common knowledge?","No",54,"Yes","I had a hard time admitting to the Republican stereotypes sometimes. :)",4,"Female",6,"English",NA,"Rep",0.78,NA,"white","FL","None",NA,11
3604,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.76,6735,6,"R","COVID","C","R",NA,"default","How people view the general beliefs of each party","Yes",26,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.24,NA,"white","NJ","midwestern or southern",NA,3
3607,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.89,8431,24,"R","COVID","C","R",NA,"default","To get an idea on how different parties view one another","No",24,"Yes",NA,3,"Female",0,"english",NA,"Dem",0.07,NA,"white","FL",NA,NA,21
3610,"default","COVID is an overhyped virus","list2","list2-D","conservative",0.03,5486,12,"D","COVID","C","D",NA,"default","My beliefs regarding democrat and republican views based on my own political views.","No",45,"Yes","I appreciate the opportunity in recognizing my own political biases based on my responses.",3,"Female",2,"English",NA,"Dem",0.36,NA,"white","WA",NA,NA,9
3613,"default","COVID is an overhyped virus","list2","list2-R","conservative",0.94,5864,9,"R","COVID","C","R",NA,"default","perceptions of the two major political parties in the US","No",25,"Yes",NA,3,"Female",4,"english",NA,"Dem",0,NA,NA,"IL",NA,NA,6
3620,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.85,7635,17,"D","COVID","C","D",NA,"default","Stereotypes surrounding Democrat and Republican beliefs.","No",40,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.52,NA,"white","KS",NA,NA,14
3591,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.97,5129,13,"D","COVID","C","D",NA,"default","Political Beliefs","No",27,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.65,NA,"white","SC","N/A",NA,10
3595,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.5,4221,11,"R","COVID","C","R",NA,"default","Perceptions of the 'opposing' party beliefs","Yes",33,"Yes",NA,4,"Female",5,"English",NA,"Dem",0.13,"Jewish","white","FL","Lower midlands/appalacian",NA,8
3596,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.2,4952,12,"D","COVID","C","D",NA,"default","if your accent reflects your political views","No",19,"Yes",NA,1,"Female",1,"English",NA,"Dem",0.31,NA,"white","NC","Southern",NA,9
3605,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.11,3280,23,"R","COVID","C","R",NA,"default","I have no idea","No",40,"Yes",NA,2,"Male",0,"English",NA,"Dem",0,NA,"white","NC",NA,NA,20
3609,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.77,8584,19,"D","COVID","C","D",NA,"default","Stereotypes of party views","No",29,"Yes",NA,4,"Female",3,"English",NA,"Dem",0.11,NA,"white","AK",NA,NA,16
3612,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.14,4403,16,"R","COVID","C","R",NA,"default","Different views of the political parties","Yes",20,"Yes",NA,2,"Female",0,"English",NA,"Rep",0.8,NA,"white","KS","Midwestern",NA,13
3615,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.31,10188,16,"R","COVID","C","R",NA,"default","alignment with established political mindsets","No",37,"Yes",NA,4,"Female",6,"English",NA,"Dem",0.27,NA,"white","MA",NA,NA,13
3621,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.35,3388,16,"R","COVID","C","R",NA,"default","Perceptions of beliefs and values of members of political parties.","No",32,"Yes",NA,3,"Male",5,"English",NA,"Lib",0.63,NA,"white","CA",NA,NA,13
3622,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.96,4303,5,"D","COVID","C","D",NA,"default","The typical views of Republicans and Democrats. Both are garbage","No",42,"Yes",NA,2,"Male",1,"English","Dem Socialist/Socialist","Other",0,NA,"white","AZ","None",NA,2
3623,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.94,3817,12,"D","COVID","C","D",NA,"default","I believe it is to see how people from certain political parties view the democratic and republican parties.","Yes",19,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","MS","Southern/Country",NA,9
3624,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.91,4297,10,"D","COVID","C","D",NA,"default","How likely I believe a certain political party is to believe in a given policy.","No",42,"Yes","no thank you",3,"Male",5,"english",NA,"Dem",0.36,NA,"white","MN",NA,NA,7
3625,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.03,4677,22,"R","COVID","C","R",NA,"default","politics","Yes",22,"Yes","n/a",2,"Male",3,"English",NA,"Rep",0.69,NA,"white","WI","midwestern",NA,19
3626,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.25,3757,9,"R","COVID","C","R",NA,"default","democrats and republicans","No",25,"Yes",NA,1,"Female",2,"english",NA,"Lib",0.18,NA,"white",NA,NA,NA,6
3627,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.31,5003,25,"R","COVID","C","R",NA,"default","Seeing what we believe about others based on our personal beliefs","No",24,"Yes",NA,3,"Female",4,"English",NA,"Dem",0.32,NA,"white","OR",NA,NA,22
3628,"default","COVID is a dangerous virus","list1","list1-R","liberal",0.98,4395,25,"R","COVID","C","R",NA,"default","How polarized our country currently is in regards to social/economic issues. I think this survey is trying to create a correlation between party affiliations and attitudes towards certain issues.","Yes",24,"Yes","I think this survey is continuing to show that there is a divide in the nation, but labeling people as leaning more towards the left or right is not going to solve anything. Issues should be handled on their merits, not by what one party thinks is right as opposed to another.",4,"Female",3,"english, armenian",NA,"Rep",0.65,"armenian",NA,"CA","armenian",NA,22
3693,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.88,3052,18,"D","COVID","C","D",NA,"default","Comparing individual beliefs with perceptions about others","No",23,"Yes","Best of luck with your research!",3,"Male",2,"English",NA,"Dem",0.13,NA,"white","VA",NA,NA,15
3694,"default","COVID is a dangerous virus","list1","list1-D","liberal",0.73,10292,22,"D","COVID","C","D",NA,"default","Do people think political views are more polarized or extreme depending on their own political leanings?","No",27,"Yes",NA,3,"Female",2,"English",NA,"Dem",0.13,NA,"white","MO",NA,NA,19
3586,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",1,103694,4,"R","elections","MC","D",NA,"default","To gauge people's opinion of how strongly Republicans and Democrats feel about certain issues.","No",44,"Yes","Thank you for an enjoyable survey.",2,"Male",3,"English",NA,"Lib",0.53,NA,"white","IN",NA,NA,1
3587,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.97,16961,8,"R","elections","MC","D",NA,"default","Don't know","Yes",32,"Yes","No comment",3,"Female",4,"English",NA,"Dem",0.1,NA,"white","WI","Minnesotan",NA,5
3589,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.99,6734,23,"D","elections","MC","R",NA,"default","How others perceive the believes of political parties","No",35,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.37,NA,"white","PA",NA,NA,20
3590,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",1,4973,22,"R","elections","MC","D",NA,"default","Not sure. Maybe assessing accuracy of perceptions of political party's beliefs (e.g., are we accurately able to guess what Republicans on average believe, or do we under/over estimate certain beliefs)","No",26,"Yes","N/A",3,"Female",3,"English",NA,"Dem",0,NA,"white","IN",NA,NA,19
3591,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.97,5512,25,"R","elections","MC","D",NA,"default","Political Beliefs","No",27,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.65,NA,"white","SC","N/A",NA,22
3592,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.98,5098,5,"R","elections","MC","D",NA,"default","Not sure","Yes",32,"Yes",NA,3,"Male",4,"English","Independent",NA,0.69,NA,"white","AR","Midwest",NA,2
3593,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.84,9286,13,"D","elections","MC","R",NA,"default","The differences between Democrats and Republicans way of thinking.","No",50,"Yes","It was interesting.",2,"Female",3,"English",NA,"Rep",0.61,NA,"white","NJ",NA,NA,10
3594,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.94,4627,4,"R","elections","MC","D",NA,"default",NA,"Yes",22,"Yes",NA,3,"Other",5,"English","Independent","Other",0,NA,"white","CO","Mild Southern Drawl",NA,1
3595,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",1,7614,21,"D","elections","MC","R",NA,"default","Perceptions of the 'opposing' party beliefs","Yes",33,"Yes",NA,4,"Female",5,"English",NA,"Dem",0.13,"Jewish","white","FL","Lower midlands/appalacian",NA,18
3596,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.85,5966,10,"R","elections","MC","D",NA,"default","if your accent reflects your political views","No",19,"Yes",NA,1,"Female",1,"English",NA,"Dem",0.31,NA,"white","NC","Southern",NA,7
3597,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.98,7052,7,"D","elections","MC","R",NA,"default","Determining how native vs. non-native language speakers view U.S. political parties.","Yes",57,"Yes","Thank your for the sliding scale rating option.  Sometimes answers that are forced into only a few options don't feel accurate.",3,"Female",5,"English",NA,"Dem",0.33,NA,"white","GA","Southern American",NA,4
3598,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.94,8414,18,"R","elections","MC","D",NA,"default","Political views","No",24,"Yes",NA,2,"Female",0,"English",NA,"Lib",0.31,NA,"white","CO",NA,NA,15
3599,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.98,5836,6,"D","elections","MC","R",NA,"default","How people believe other political parties view certain topics.","No",21,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","NJ",NA,NA,3
3600,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.98,8850,18,"R","elections","MC","D",NA,"default","Political leanings and stereotypes","Yes",52,"Yes",NA,3,"Male",5,"English",NA,"Dem",0.09,NA,"white","NC","Southern",NA,15
3601,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.99,5012,8,"R","elections","MC","D",NA,"default","The general public's perceptions about the views of Democrats and Republicans","No",20,"Yes",NA,2,"Female",5,"English",NA,"Dem",0,NA,"white","PA",NA,NA,5
3602,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",1,10102,4,"D","elections","MC","R",NA,"default","How we view the political beliefs of Republicans and Democrats.","Yes",41,"Yes","None",3,"Male",5,"English",NA,"Dem",0.13,NA,"white","GA","Northeastern U.S.",NA,1
3603,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",1,24438,9,"R","elections","MC","D",NA,"default","IDK, perhaps if the stereotypes are common knowledge?","No",54,"Yes","I had a hard time admitting to the Republican stereotypes sometimes. :)",4,"Female",6,"English",NA,"Rep",0.78,NA,"white","FL","None",NA,6
3604,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.84,15654,4,"D","elections","MC","R",NA,"default","How people view the general beliefs of each party","Yes",26,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.24,NA,"white","NJ","midwestern or southern",NA,1
3605,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.83,6128,16,"D","elections","MC","R",NA,"default","I have no idea","No",40,"Yes",NA,2,"Male",0,"English",NA,"Dem",0,NA,"white","NC",NA,NA,13
3607,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.96,12344,16,"D","elections","MC","R",NA,"default","To get an idea on how different parties view one another","No",24,"Yes",NA,3,"Female",0,"english",NA,"Dem",0.07,NA,"white","FL",NA,NA,13
3609,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.99,5690,10,"R","elections","MC","D",NA,"default","Stereotypes of party views","No",29,"Yes",NA,4,"Female",3,"English",NA,"Dem",0.11,NA,"white","AK",NA,NA,7
3610,"default","U.S. presidential elections are held in November","list2","list2-D","conservative",0.9,27158,16,"R","elections","MC","D",NA,"default","My beliefs regarding democrat and republican views based on my own political views.","No",45,"Yes","I appreciate the opportunity in recognizing my own political biases based on my responses.",3,"Female",2,"English",NA,"Dem",0.36,NA,"white","WA",NA,NA,13
3612,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.91,5878,21,"D","elections","MC","R",NA,"default","Different views of the political parties","Yes",20,"Yes",NA,2,"Female",0,"English",NA,"Rep",0.8,NA,"white","KS","Midwestern",NA,18
3613,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.64,6790,25,"D","elections","MC","R",NA,"default","perceptions of the two major political parties in the US","No",25,"Yes",NA,3,"Female",4,"english",NA,"Dem",0,NA,NA,"IL",NA,NA,22
3614,"default","U.S. presidential elections are held in November","list2","list2-R","conservative",0.97,47956,16,"D","elections","MC","R",NA,"default","Political views","No",30,"Yes","None",4,"Male",3,"English",NA,"Dem",0.3,NA,NA,"CA","N/a",NA,13
3615,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.98,7893,7,"D","elections","MC","R",NA,"default","alignment with established political mindsets","No",37,"Yes",NA,4,"Female",6,"English",NA,"Dem",0.27,NA,"white","MA",NA,NA,4
3620,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.97,9430,15,"R","elections","MC","D",NA,"default","Stereotypes surrounding Democrat and Republican beliefs.","No",40,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.52,NA,"white","KS",NA,NA,12
3621,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.8,7513,11,"D","elections","MC","R",NA,"default","Perceptions of beliefs and values of members of political parties.","No",32,"Yes",NA,3,"Male",5,"English",NA,"Lib",0.63,NA,"white","CA",NA,NA,8
3622,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.75,7456,19,"R","elections","MC","D",NA,"default","The typical views of Republicans and Democrats. Both are garbage","No",42,"Yes",NA,2,"Male",1,"English","Dem Socialist/Socialist","Other",0,NA,"white","AZ","None",NA,16
3623,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",1,7177,15,"R","elections","MC","D",NA,"default","I believe it is to see how people from certain political parties view the democratic and republican parties.","Yes",19,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","MS","Southern/Country",NA,12
3624,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.81,13162,19,"R","elections","MC","D",NA,"default","How likely I believe a certain political party is to believe in a given policy.","No",42,"Yes","no thank you",3,"Male",5,"english",NA,"Dem",0.36,NA,"white","MN",NA,NA,16
3625,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.99,6358,10,"D","elections","MC","R",NA,"default","politics","Yes",22,"Yes","n/a",2,"Male",3,"English",NA,"Rep",0.69,NA,"white","WI","midwestern",NA,7
3626,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.87,5743,24,"D","elections","MC","R",NA,"default","democrats and republicans","No",25,"Yes",NA,1,"Female",2,"english",NA,"Lib",0.18,NA,"white",NA,NA,NA,21
3627,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.98,6129,21,"D","elections","MC","R",NA,"default","Seeing what we believe about others based on our personal beliefs","No",24,"Yes",NA,3,"Female",4,"English",NA,"Dem",0.32,NA,"white","OR",NA,NA,18
3628,"default","U.S. presidential elections are held in November","list1","list1-R","conservative",0.99,10868,7,"D","elections","MC","R",NA,"default","How polarized our country currently is in regards to social/economic issues. I think this survey is trying to create a correlation between party affiliations and attitudes towards certain issues.","Yes",24,"Yes","I think this survey is continuing to show that there is a divide in the nation, but labeling people as leaning more towards the left or right is not going to solve anything. Issues should be handled on their merits, not by what one party thinks is right as opposed to another.",4,"Female",3,"english, armenian",NA,"Rep",0.65,"armenian",NA,"CA","armenian",NA,4
3693,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",1,11675,12,"R","elections","MC","D",NA,"default","Comparing individual beliefs with perceptions about others","No",23,"Yes","Best of luck with your research!",3,"Male",2,"English",NA,"Dem",0.13,NA,"white","VA",NA,NA,9
3694,"default","U.S. presidential elections are held in November","list1","list1-D","conservative",0.88,12792,18,"R","elections","MC","D",NA,"default","Do people think political views are more polarized or extreme depending on their own political leanings?","No",27,"Yes",NA,3,"Female",2,"English",NA,"Dem",0.13,NA,"white","MO",NA,NA,15
3592,"default","there are too many environmental laws","list2","list2-D","conservative",0.09,3675,16,"D","environment","C","D",NA,"default","Not sure","Yes",32,"Yes",NA,3,"Male",4,"English","Independent",NA,0.69,NA,"white","AR","Midwest",NA,13
3598,"default","there are too many environmental laws","list2","list2-D","conservative",0.78,7061,21,"D","environment","C","D",NA,"default","Political views","No",24,"Yes",NA,2,"Female",0,"English",NA,"Lib",0.31,NA,"white","CO",NA,NA,18
3614,"default","there are too many environmental laws","list2","list2-R","conservative",0.14,7146,7,"R","environment","C","R",NA,"default","Political views","No",30,"Yes","None",4,"Male",3,"English",NA,"Dem",0.3,NA,NA,"CA","N/a",NA,4
3586,"default","there are too many environmental laws","list2","list2-D","conservative",0.17,5252,10,"D","environment","C","D",NA,"default","To gauge people's opinion of how strongly Republicans and Democrats feel about certain issues.","No",44,"Yes","Thank you for an enjoyable survey.",2,"Male",3,"English",NA,"Lib",0.53,NA,"white","IN",NA,NA,7
3587,"default","there are too many environmental laws","list2","list2-D","conservative",0.38,7317,19,"D","environment","C","D",NA,"default","Don't know","Yes",32,"Yes","No comment",3,"Female",4,"English",NA,"Dem",0.1,NA,"white","WI","Minnesotan",NA,16
3589,"default","there are too many environmental laws","list2","list2-R","conservative",0.78,5806,7,"R","environment","C","R",NA,"default","How others perceive the believes of political parties","No",35,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.37,NA,"white","PA",NA,NA,4
3590,"default","there are too many environmental laws","list2","list2-D","conservative",0.02,4614,20,"D","environment","C","D",NA,"default","Not sure. Maybe assessing accuracy of perceptions of political party's beliefs (e.g., are we accurately able to guess what Republicans on average believe, or do we under/over estimate certain beliefs)","No",26,"Yes","N/A",3,"Female",3,"English",NA,"Dem",0,NA,"white","IN",NA,NA,17
3593,"default","there are too many environmental laws","list2","list2-R","conservative",0.63,6122,14,"R","environment","C","R",NA,"default","The differences between Democrats and Republicans way of thinking.","No",50,"Yes","It was interesting.",2,"Female",3,"English",NA,"Rep",0.61,NA,"white","NJ",NA,NA,11
3594,"default","there are too many environmental laws","list2","list2-D","conservative",0.16,3388,14,"D","environment","C","D",NA,"default",NA,"Yes",22,"Yes",NA,3,"Other",5,"English","Independent","Other",0,NA,"white","CO","Mild Southern Drawl",NA,11
3597,"default","there are too many environmental laws","list2","list2-R","conservative",0.67,7736,23,"R","environment","C","R",NA,"default","Determining how native vs. non-native language speakers view U.S. political parties.","Yes",57,"Yes","Thank your for the sliding scale rating option.  Sometimes answers that are forced into only a few options don't feel accurate.",3,"Female",5,"English",NA,"Dem",0.33,NA,"white","GA","Southern American",NA,20
3599,"default","there are too many environmental laws","list2","list2-R","conservative",0.41,5311,20,"R","environment","C","R",NA,"default","How people believe other political parties view certain topics.","No",21,"Yes",NA,2,"Female",5,"English",NA,"Dem",0.05,NA,"white","NJ",NA,NA,17
3600,"default","there are too many environmental laws","list2","list2-D","conservative",0.15,6196,4,"D","environment","C","D",NA,"default","Political leanings and stereotypes","Yes",52,"Yes",NA,3,"Male",5,"English",NA,"Dem",0.09,NA,"white","NC","Southern",NA,1
3601,"default","there are too many environmental laws","list2","list2-D","conservative",0.03,4575,22,"D","environment","C","D",NA,"default","The general public's perceptions about the views of Democrats and Republicans","No",20,"Yes",NA,2,"Female",5,"English",NA,"Dem",0,NA,"white","PA",NA,NA,19
3602,"default","there are too many environmental laws","list2","list2-R","conservative",0.92,4088,25,"R","environment","C","R",NA,"default","How we view the political beliefs of Republicans and Democrats.","Yes",41,"Yes","None",3,"Male",5,"English",NA,"Dem",0.13,NA,"white","GA","Northeastern U.S.",NA,22
3603,"default","there are too many environmental laws","list2","list2-D","conservative",0.02,6157,18,"D","environment","C","D",NA,"default","IDK, perhaps if the stereotypes are common knowledge?","No",54,"Yes","I had a hard time admitting to the Republican stereotypes sometimes. :)",4,"Female",6,"English",NA,"Rep",0.78,NA,"white","FL","None",NA,15
3604,"default","there are too many environmental laws","list2","list2-R","conservative",0.91,5160,15,"R","environment","C","R",NA,"default","How people view the general beliefs of each party","Yes",26,"Yes",NA,4,"Male",5,"English",NA,"Dem",0.24,NA,"white","NJ","midwestern or southern",NA,12
3607,"default","there are too many environmental laws","list2","list2-R","conservative",0.98,23037,25,"R","environment","C","R",NA,"default","To get an idea on how different parties view one another","No",24,"Yes",NA,3,"Female",0,"english",NA,"Dem",0.07,NA,"white","FL",NA,NA,22
3610,"default","there are too many environmental laws","list2","list2-D","conservative",0.08,7082,19,"D","environment","C","D",NA,"default","My beliefs regarding democrat and republican views based on my own political views.","No",45,"Yes","I appreciate the opportunity in recognizing my own political biases based on my responses.",3,"Female",2,"English",NA,"Dem",0.36,NA,"white","WA",NA,NA,16
3613,"default","there are too many environmental laws","list2","list2-R","conservative",0.73,6406,23,"R","environment","C","R",NA,"default","perceptions of the two major political parties in the US","No",25,"Yes",NA,3,"Female",4,"english",NA,"Dem",0,NA,NA,"IL",NA,NA,20
3620,"default","there are too few environmental laws","list1","list1-D","liberal",0.63,15117,9,"D","environment","C","D",NA,"default","Stereotypes surrounding Democrat and Republican beliefs.","No",40,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.52,NA,"white","KS",NA,NA,6
3591,"default","there are too few environmental laws","list1","list1-D","liberal",0.48,10106,16,"D","environment","C","D",NA,"default","Political Beliefs","No",27,"Yes",NA,3,"Female",3,"English",NA,"Rep",0.65,NA,"white","SC","N/A",NA,13
3595,"default","there are too few environmental laws","list1","list1-R","liberal",0.12,3742,17,"R","environment","C","R",NA,"default","Perceptions of the 'opposing' party beliefs","Yes",33,"Yes",NA,4,"Female",5,"English",NA,"Dem",0.13,"Jewish","white","FL","Lower midlands/appalacian",NA,14
3596,"default","there are too few environmental laws","list1","list1-D","liberal",0.31,7855,7,"D","environment","C","D",NA,"default","if your accent reflects your political views","No",19,"Yes",NA,1,"Female",1,"English",NA,"Dem",0.31,NA,"white","NC","Southern",NA,4
3605,"default","there are too few environmental laws","list1","list1-R","liberal",0.18,8864,22,"R","environment","C","R",NA,"default","I have no idea","No",40,"Yes",NA,2,"Male",0,"English",NA,"Dem",0,NA,"white","NC",NA,NA,19
3609,"default","there are too few environmental laws","list1","list1-D","liberal",0.99,7943,23,"D","environment","C","D",NA,"default","Stereotypes of party views","No",29,"Yes",NA,4,"Female",3,"English",NA,"Dem",0.11,NA,"white","AK",NA,NA,20
3612,"default","there are too few environmental laws","list1","list1-R","liberal",0.19,10021,19,"R","environment","C","R",NA,"default","Different views of the political parties","Yes",20,"Yes",NA,2,"Female",0,"English",NA,"Rep",0.8,NA,"white","KS","Midwestern",NA,16
3615,"default","there are too few environmental laws","list1","list1-R","liberal",0.18,6721,23,"R","environment","C","R",NA,"default","alignment with established political mindsets","No",37,"Yes",NA,4,"Female",6,"English",NA,"Dem",0.27,NA,"white","MA",NA,NA,20
3621,"default","there are too few environmental laws","list1","list1-R","liberal",0.12,8426,20,"R","environment","C","R",NA,"default","Perceptions of beliefs and values of members of political parties.","No",32,"Yes",NA,3,"Male",5,"English",NA,"Lib",0.63,NA,"white","CA",NA,NA,17
